timestamp,users,changesets,map_changes,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,editors
2023-04-03,2.0,5.0,471.0,217.0,148.0,56.0,36.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,"{""id"": 471}"
2023-04-04,2.0,5.0,573.0,281.0,180.0,37.0,63.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,63.0,6.0,0.0,1.0,"{""id"": 359, ""josm"": 214}"
2023-04-06,2.0,5.0,546.0,202.0,277.0,12.0,50.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,"{""id"": 546}"
2023-04-08,2.0,16.0,1231.0,1005.0,16.0,0.0,208.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,2.0,0.0,0.0,"{""id"": 1231}"
2023-04-09,2.0,5.0,346.0,177.0,52.0,58.0,44.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,2.0,"{""id"": 346}"
2023-04-14,1.0,3.0,377.0,308.0,5.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,"{""id"": 377}"
2023-04-15,1.0,3.0,209.0,175.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,"{""id"": 209}"
2023-04-18,1.0,1.0,178.0,0.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"{""id"": 178}"
2023-04-19,2.0,2.0,1047.0,430.0,0.0,435.0,79.0,9.0,94.0,0.0,0.0,0.0,0.0,0.0,79.0,7.0,0.0,2.0,"{""id"": 1047}"
2023-04-21,1.0,1.0,215.0,0.0,213.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"{""id"": 215}"
2023-04-26,1.0,8.0,347.0,268.0,0.0,18.0,58.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,"{""id"": 347}"
2023-05-01,1.0,4.0,230.0,202.0,11.0,1.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,"{""josm"": 230}"
